Day_Of_Week,Click_Hour,Click_Minute,Current_Cumulative_Sum,Target_Final_Daily_Sum
6,6,10,19066,76288
2,5,20,27880,126623
3,7,43,34490,113096
6,8,4,25123,79430
6,4,22,17172,85426
2,0,40,3406,120803
4,18,58,110002,145245
4,9,24,50430,123708
6,11,40,36212,79157
4,23,53,107766,114572
1,14,9,56973,100676
2,21,21,112404,116702
1,23,18,95977,100126
3,8,0,32565,111284
1,19,6,88443,104792
3,16,3,81550,123841
6,16,0,49352,81572
3,19,14,97033,123029
3,11,39,59246,118954
5,6,11,19803,75344
1,1,21,7671,125135
5,2,21,7821,83434
6,16,49,48933,69673
2,4,46,22183,115740
1,16,16,66128,105719
2,23,28,110919,110919
2,16,45,88925,124530
3,16,13,89587,130731
1,1,49,9478,122608
2,1,19,6781,127998
4,21,49,109707,127076
2,22,47,118948,125065
4,4,32,22666,113415
1,0,54,4932,121739
6,0,58,3722,88877
5,18,42,56653,72604
1,1,14,6422,123308
5,20,11,67590,80325
5,11,39,38713,84066
1,5,53,30634,124815
2,22,19,116990,134812
0,3,29,18403,127588
2,22,37,128329,128329
2,10,2,54788,125876
6,23,27,68639,73648
3,16,55,76639,109125
3,5,25,22955,106140
2,23,29,116987,119936
4,4,12,18114,98388
6,19,12,64408,77965
5,1,1,3813,80070
3,5,36,28598,115666
2,21,48,106709,116292
6,10,37,40143,87775
0,15,1,74645,120520
4,15,35,74303,121271
1,0,53,4923,125582
2,8,25,43570,118273
6,5,10,16797,78979
2,15,7,79465,124459
5,2,43,9610,79939
4,19,39,113801,133351
3,3,42,15205,106417
3,18,21,92154,119078
3,2,19,12411,129669
1,18,7,89862,112769
6,19,28,63802,74804
4,6,39,37046,125433
4,19,25,85084,111394
3,8,29,40507,119275
3,0,16,1389,118434
5,7,19,25570,86431
0,6,51,37714,143016
0,17,54,86040,112368
2,7,15,38210,130049
2,0,45,3951,116071
4,10,42,49375,109133
4,17,6,86923,121028
1,22,15,115102,126490
1,9,44,56567,129205
0,2,58,17065,135622
2,6,46,41276,149452
0,15,55,78018,122505
0,15,47,74282,113369
2,19,26,95904,124528
6,16,52,53679,72644
1,1,22,6695,129259
5,0,23,1210,76314
5,15,8,55416,85283
5,11,34,41584,84834
2,4,50,20030,103159
3,4,19,20978,112909
3,22,36,115338,128160
3,8,41,47619,131763
4,8,16,38155,107277
1,2,46,14994,127130
1,18,30,74873,100526
6,15,54,56215,80059
6,15,56,54630,81932
4,2,7,10472,114484
0,19,14,90519,104930
6,23,30,76716,76716
5,21,52,81175,84369
3,23,29,124767,126295
5,0,45,2628,80914
3,23,19,110241,112273
5,19,59,55864,71411
0,10,38,54735,121699
5,16,52,60163,84524
5,7,54,26719,78870
2,3,11,16070,121937
5,5,48,17779,76480
2,7,16,36851,117844
1,19,41,94009,122681
4,2,29,13625,122733
5,15,28,53411,83849
1,2,18,13636,140565
6,17,45,66019,86840
6,13,10,50739,89834
2,17,33,86796,127692
5,1,49,6797,86248
5,21,6,66684,74717
0,2,43,13421,122458
1,15,57,67692,105823
3,8,33,40872,116677
3,3,58,17598,113874
0,0,19,1653,115382
2,3,49,18273,106959
3,0,37,3448,131264
3,13,23,75002,136019
6,20,9,67012,80611
6,15,31,52276,77905
4,19,51,104872,116553
1,23,14,106869,113637
2,7,36,33548,112214
5,6,19,24274,85607
1,2,2,9433,122270
2,16,36,78307,119227
3,0,56,5106,132951
4,15,39,74579,124049
1,11,7,54573,111613
3,18,39,91727,113190
2,21,43,111456,126819
1,22,55,130417,130417
5,21,22,71369,74749
1,13,39,78591,138968
3,5,10,28691,136350
1,5,45,33174,124410
5,12,7,42430,81119
4,18,28,83307,106900
4,21,29,111036,116126
3,7,55,42702,127532
2,1,59,11137,138266
3,20,9,104672,124174
4,0,38,3655,131687
0,14,27,63723,117546
0,0,48,4146,126227
1,4,35,26182,128233
5,15,12,47964,77722
6,18,31,67511,81224
6,3,35,13168,82373
6,2,36,9020,83537
1,16,25,71798,108034
0,16,21,64258,95698
4,11,3,60702,116342
1,13,30,73385,119284
6,20,17,80549,94715
6,5,37,18974,83622
3,2,23,12492,125063
6,8,55,32708,86977
5,4,22,13856,81209
6,23,21,79616,81507
3,16,1,83211,116953
6,13,30,36503,71310
5,20,54,72627,80090
4,2,10,12033,124718
1,0,27,2117,116165
5,19,45,73248,82059
3,20,31,93031,112716
1,22,4,119985,127681
1,0,37,2803,110795
3,2,9,11334,128500
0,17,39,87007,122078
6,9,45,30928,73561
5,21,23,70121,75497
3,2,34,11346,106444
4,7,43,34018,113523
2,13,47,68372,116699
3,23,59,96309,96309
6,17,22,61480,85894
6,14,16,56256,86555
1,21,0,101364,125672
1,22,54,97596,115037
3,1,30,7254,120469
2,9,30,46907,114438
3,1,41,8071,121487
2,16,56,90847,135401
2,7,54,44717,129684
6,0,41,2484,85297
6,8,52,29067,77223
6,10,55,40263,85190
4,21,33,90634,103131
6,15,8,54833,88639
5,6,21,21377,77653
1,9,12,45554,127404
1,22,24,105583,126698
2,2,47,13949,122948
1,17,17,88963,118042
0,23,50,125379,125379
2,12,11,58483,110471
1,6,39,27793,111553
0,3,16,16676,120617
4,12,14,64078,121731
1,19,41,77808,101743
0,0,14,1263,124551
3,7,14,38280,127727
5,13,54,56560,84658
3,15,38,83440,143744
0,13,12,66504,113170
2,11,16,53561,116389
6,18,31,55848,78755
6,22,8,73244,81570
6,14,39,48532,78419
2,1,19,6113,105931
1,1,25,7342,114534
6,22,26,84165,84165
3,21,20,111911,132285
2,18,17,114307,142022
2,21,12,120101,133354
6,21,15,67037,78274
3,16,8,75184,113041
4,19,11,91284,118406
2,9,43,55911,137845
6,5,37,18199,80711
5,14,18,46294,81906
0,21,59,107849,114988
1,10,6,55373,127570
2,4,56,25840,126899
5,0,34,2004,79450
5,7,47,25311,79079
2,20,17,80960,97268
4,11,15,58610,121038
0,11,54,63345,128606
1,4,38,21650,111671
2,6,3,24595,111636
1,3,58,16762,101335
3,5,24,27783,135898
5,12,31,39413,80487
5,19,39,60259,78865
2,14,12,70685,126039
2,2,44,14966,135120
3,22,16,107232,118461
4,7,48,38483,114605
2,19,36,100518,121730
5,15,5,45442,79900
1,12,18,60880,118298
0,17,12,80416,110451
6,9,56,32545,79947
1,18,59,84996,107787
4,16,25,88833,128643
0,23,13,116793,116793
1,18,30,80901,113924
1,22,53,106275,112840
3,4,3,21931,120850
6,20,59,75846,81011
4,22,38,115296,117268
5,8,7,27850,80198
3,11,24,69625,135380
0,20,12,95834,103899
6,0,31,1612,75378
5,0,58,2979,77745
3,14,37,70604,117517
6,1,37,5922,76137
4,21,55,99194,117872
2,15,27,76881,122304
2,7,52,38605,126729
0,12,29,64347,122945
2,20,2,89068,113531
3,0,27,2120,113708
0,15,2,59698,105602
5,6,44,20562,71096
4,4,53,30145,139620
0,21,33,98706,112079
5,22,15,71437,77580
0,2,21,11964,123199
1,11,31,57569,118896
1,15,37,76664,118044
0,18,7,105107,134090
6,4,54,16187,74683
2,21,7,96812,114700
1,13,56,66162,115755
6,4,5,13291,74749
6,14,13,41517,75451
4,16,31,72534,116918
5,13,34,43970,76916
3,19,9,97731,119516
1,4,2,16948,104629
0,11,58,68677,141842
2,15,11,67154,110343
3,15,48,74556,118381
5,20,58,81854,90556
6,6,30,19291,75697
5,3,28,11171,78384
1,0,4,329,124218
5,4,51,14595,77893
5,22,24,80941,83106
2,9,40,52877,134785
6,21,30,70958,78470
2,4,20,20562,123173
2,3,57,19263,121552
0,1,19,7032,123510
5,19,38,81903,88651
5,9,21,24145,68772
5,18,3,60289,80977
4,0,12,1066,125339
2,23,44,97968,102217
3,4,41,23929,117631
1,12,49,60620,118658
6,3,48,12318,77206
3,15,19,81154,130570
6,23,51,78310,78310
0,15,12,72598,118641
0,22,16,112046,122931
6,1,53,6764,82305
5,16,35,53257,81253
3,19,32,105647,129361
5,23,0,68529,78678
4,11,14,53657,121234
0,17,12,79685,109104
0,2,16,9484,105654
3,0,23,1881,121065
0,0,57,4646,114573
4,18,7,94698,129192
4,10,49,59808,127458
4,4,26,22060,118153
1,11,44,54161,108422
4,2,22,13102,125107
4,0,45,3486,109820
1,0,7,588,112415
5,7,7,24957,80499
2,9,58,47968,118614
0,10,25,60858,131701
4,11,46,59584,119949
0,12,58,61206,115567
3,11,12,49560,104743
0,13,38,75268,125521
6,1,36,6049,88724
5,18,48,78654,92024
1,17,27,89274,116457
0,2,24,13173,128381
0,22,15,104159,118427
0,16,54,83329,119410
2,7,1,36634,124857
2,9,53,60116,141069
3,1,17,7111,128884
1,18,16,91427,119113
0,8,29,42683,120031
0,6,38,32858,114751
0,3,12,14100,110500
0,20,31,106154,114472
2,17,49,74819,112278
5,12,28,42376,76046
5,10,45,38022,85079
3,23,29,133332,133332
6,3,17,10109,72574
4,20,12,102923,120205
1,3,42,19013,120003
5,9,20,33617,83083
6,4,29,14779,80439
0,8,20,47796,130880
5,23,47,72500,77355
3,2,54,12643,104666
4,16,16,89698,127032
5,2,39,8044,69399
3,15,18,70956,108798
2,3,51,17718,112666
4,17,14,83584,111408
3,16,8,73259,112754
6,6,51,26066,83974
5,23,9,83319,86745
2,22,43,99153,113492
6,4,30,14518,82352
3,11,52,58329,117712
3,16,22,83557,121676
6,22,51,83699,83699
5,12,29,43592,88398
4,22,32,117668,125080
2,2,56,12048,104091
0,8,51,45043,125237
1,16,8,91872,126055
4,16,53,76735,115652
2,19,46,89058,105048
6,15,0,55168,86568
3,21,43,108382,119922
6,12,34,40645,75660
2,18,10,75217,105487
6,16,33,54013,72336
6,3,15,11038,74357
1,11,8,53857,115827
5,8,31,33564,84363
1,18,14,81136,108972
0,11,11,54969,115651
0,8,32,47753,125333
1,6,44,31934,116500
4,13,13,52947,103280
4,19,56,88025,115273
6,18,56,64890,74571
6,14,7,45896,80148
3,15,7,76870,123188
0,20,26,83145,103412
3,4,11,23294,127590
0,2,0,8718,108878
1,11,42,64477,135591
4,19,39,99316,119512
6,20,41,62983,77190
4,3,50,17187,108580
1,20,10,111032,123480
3,22,38,111820,116087
3,15,42,78375,119033
2,6,30,37264,136127
6,12,16,41753,83312
6,20,32,71404,75885
6,9,31,28457,74803
0,6,57,35908,122705
3,13,28,58653,103933
1,4,20,23718,125053
3,2,20,11117,108369
4,22,39,126324,134068
0,10,22,48980,111771
6,10,55,36750,79490
5,17,5,55039,87234
2,14,21,61664,112033
0,11,49,57391,120200
4,8,37,44503,127536
6,9,36,31950,84971
4,11,44,63109,124423
4,16,50,92959,132521
6,5,53,18783,77454
4,6,7,27786,116332
1,13,40,66210,116531
2,12,48,59571,128583
5,7,34,23873,76343
4,9,50,50519,122912
4,8,10,44065,127952
3,17,23,66425,99489
2,1,48,9336,123100
0,4,20,20912,122185
2,4,50,26409,136688
2,5,1,22673,104714
6,18,39,66752,78042
6,7,18,26690,87525
6,15,38,46608,74599
5,12,27,42317,80813
2,0,58,5296,125607
5,21,16,67092,73435
4,19,5,110694,122422
6,16,18,49763,75988
4,6,55,34936,119715
6,12,37,43038,75984
1,3,27,18462,119554
5,3,1,10618,93609
5,5,37,19707,84222
0,18,54,100484,118782
3,11,36,64523,116637
2,21,50,115077,122197
0,6,51,29603,105664
5,9,3,30565,85364
0,18,21,101055,118972
1,6,25,32848,118541
3,2,48,12327,110346
5,12,42,46753,89260
5,12,35,41482,77911
2,17,57,100148,130359
6,19,12,59739,78191
3,7,51,39776,125463
1,8,57,39824,116414
4,6,31,30134,105498
0,0,16,1288,117989
2,2,40,13376,117641
5,12,35,44948,80038
4,16,54,87631,123093
1,23,59,135260,136123
3,0,45,4164,131974
0,5,18,25572,115435
2,20,57,94630,102048
5,5,59,18913,74704
5,11,34,40093,85518
4,12,45,59451,106337
4,12,39,75585,135092
0,14,55,71808,123821
3,20,58,114379,121606
1,15,27,89243,136147
6,21,0,77735,87599
3,20,41,114517,126513
3,10,17,51929,124732
3,4,47,26344,126163
6,3,39,12961,86861
0,2,32,11678,119448
6,18,11,55165,76635
0,19,7,95565,116669
6,17,23,58287,84465
1,14,15,72910,113646
3,8,49,47236,121367
0,16,3,83289,116760
6,13,37,45660,79979
1,14,43,64455,103776
6,0,26,1421,83748
5,20,8,61580,69925
1,21,46,108029,116893
3,21,15,107694,118276
2,2,55,13725,104147
3,15,11,75803,123564
2,22,30,117823,126476
1,10,23,54934,124935
5,11,54,36154,76493
5,9,13,28768,75620
0,15,44,83820,124786
5,7,24,23043,75972
4,5,33,31260,126875
1,11,2,44295,104227
0,23,57,111064,111064
5,20,23,74148,84511
1,7,53,30443,95395
3,3,41,17360,118598
5,7,8,20993,78830
6,17,25,55064,79019
2,4,19,21946,115949
1,8,39,43593,121294
0,3,9,16175,116468
3,21,18,103464,120308
4,16,2,78274,113166
3,8,23,44146,131086
5,0,4,225,85158
2,20,2,98522,118666
3,19,57,85291,106135
4,12,26,54866,114761
6,15,15,53177,84459
0,12,48,67051,125055
1,13,14,64452,109919
2,2,34,12573,112308
4,5,11,28667,125106
5,17,40,59867,78501
5,18,52,70231,87879
5,4,43,14712,79761
2,14,25,92498,152841
3,1,46,9690,127833
2,9,33,50089,117329
5,23,22,73334,73334
6,17,30,60993,78763
4,12,49,65168,128671
1,4,19,21513,121593
1,22,11,114159,120912
2,23,22,118864,118864
5,0,3,177,85892
0,21,22,123576,139380
6,0,47,2492,73821
2,17,54,74889,106399
5,14,47,58023,87190
3,16,0,70355,110385
1,10,53,48984,119482
1,20,24,107900,126877
6,21,1,69205,72843
1,16,29,90593,128147
0,12,2,60836,116943
5,0,57,3247,81863
5,1,20,4456,80832
6,8,24,28328,87713
5,2,19,6954,81217
6,0,48,2624,77979
5,20,51,74069,80008
0,15,21,75438,115954
4,22,20,113374,118151
2,5,32,27942,112302
2,16,51,81139,113700
5,4,37,15495,81050
3,4,14,21891,129403
1,5,57,28528,104507
0,2,57,17035,135042
3,20,45,108684,131932
3,22,51,105039,117187
5,4,14,15356,81928
0,20,45,98245,119850
2,4,24,27990,139725
1,9,20,37565,112037
2,9,23,50865,121460
3,18,56,93511,115718
1,16,57,75071,105669
4,20,4,117616,141916
3,13,5,64550,108184
2,8,48,46391,122201
2,13,42,55918,102592
5,0,47,2405,80627
2,18,43,97732,124219
0,12,46,59443,111752
3,12,22,59928,125868
6,3,3,9315,73509
6,0,26,1518,86571
1,16,17,90697,133617
2,7,20,36139,114132
5,1,27,5391,83036
5,7,34,28787,87339
2,6,21,32184,126193
0,1,39,8412,120143
5,21,22,63748,71379
6,21,2,68279,83469
1,2,39,13643,121152
3,17,49,107883,132979
4,11,9,58846,126460
0,0,24,1948,127012
5,21,51,74968,82220
3,11,48,54709,118461
4,4,7,22042,123188
2,16,54,78875,109148
2,15,10,83134,132688
1,14,4,53127,92170
4,22,57,112707,119128
2,14,44,80703,131408
2,4,52,20734,106361
6,20,54,65270,80539
5,13,36,55721,93034
1,1,55,9109,116311
3,10,58,59649,129459
2,18,44,96570,121980
6,6,37,21517,76810
0,5,28,23635,110235
0,1,4,5283,129753
3,5,8,25843,124489
4,17,58,104956,137481
1,1,47,9796,136826
6,17,1,54147,77748
5,14,0,51868,80369
6,18,39,60640,85967
0,1,59,8776,110373
0,19,50,102837,113663
3,5,29,22211,97432
4,0,10,911,136070
4,23,27,135947,135947
3,14,43,67542,109844
6,22,11,69042,76020
0,9,38,49017,120956
6,18,25,58773,79197
6,16,12,49474,77223
1,4,58,24259,117896
0,3,7,14399,116789
4,9,53,47842,116115
5,23,27,69991,70386
6,16,57,61034,82885
0,9,29,48825,116969
6,16,8,53197,80775
1,19,38,106712,127268
2,23,30,125541,125541
0,4,57,23867,113855
3,1,20,6559,120963
2,5,55,29343,125475
6,20,46,68969,77756
3,1,33,7834,132635
3,12,54,71227,134315
3,10,30,43038,112772
0,10,51,51442,121936
4,15,24,77563,126422
6,10,11,37959,84812
2,18,0,96832,124816
1,14,54,73422,121632
4,22,21,101656,105320
6,22,39,79792,80955
0,15,36,70279,108998
3,10,46,54028,129392
1,21,0,98096,113287
6,15,0,51751,83209
2,7,56,41478,133722
6,3,41,12673,81088
4,7,53,36372,109205
5,3,41,13102,83517
4,23,20,112385,114006
6,2,14,7583,78620
1,2,16,11567,123582
6,17,21,58187,79685
6,18,37,59118,77760
0,18,34,92234,122815
2,20,44,108927,118181
1,4,15,22508,141572
6,17,7,65010,87326
3,9,46,54472,138142
2,21,16,92363,108296
4,20,16,89199,104267
1,5,53,24684,108799
4,0,25,2196,131891
6,4,12,13147,78462
4,8,16,38211,112178
4,11,37,53608,115394
0,13,16,64664,108310
4,1,47,8250,101883
3,16,13,77249,127184
3,13,44,71846,122230
2,12,5,63065,120104
6,8,34,30329,82722
5,14,45,53653,90270
4,21,13,100393,114966
4,14,46,74231,125336
1,23,7,99438,105454
0,10,14,47307,118094
5,15,53,49292,74912
2,16,26,78063,123270
5,3,12,11094,84051
4,0,48,3904,124945
1,7,30,34318,108694
6,16,52,59495,87634
0,2,55,14935,121137
6,19,34,81060,94326
2,14,59,81358,120723
5,14,5,48249,94121
2,23,4,98385,106822
4,21,21,85733,97857
2,13,57,76216,128175
6,22,48,67192,77089
1,13,22,68018,128435
2,23,24,120773,123067
3,1,33,6399,98668
1,12,25,57843,109732
5,13,46,46739,79714
0,23,4,118610,121355
0,18,25,91249,117772
4,6,19,32645,123689
4,2,5,10773,120116
3,14,5,63161,121207
5,22,58,78659,78659
6,13,49,41405,80833
0,10,17,46896,115692
0,14,3,61751,106693
0,12,16,59322,112290
6,17,56,44677,70322
0,5,13,28204,129940
2,2,13,11481,119577
5,18,12,63203,79397
1,14,6,60961,107513
1,22,43,119197,127854
3,4,54,22455,113480
2,9,14,44882,118999
0,6,18,33559,134801
0,16,42,83170,125087
4,6,46,29877,103717
4,21,43,93180,102304
3,11,34,58937,119356
0,16,16,73896,107872
3,12,34,68561,126485
2,19,18,101092,120422
1,3,19,15347,121653
0,9,35,43168,112932
5,2,34,8344,78939
6,8,31,29317,82711
2,12,57,61127,117214
0,17,47,95706,123530
6,14,43,52986,78626
5,3,39,11929,77713
4,14,23,67212,111679
3,21,16,100827,109150
4,1,6,4514,108644
1,14,42,76090,124052
4,7,49,39221,114803
0,7,0,26596,94217
5,16,34,50804,78409
4,11,31,56866,119617
0,18,35,103030,133466
1,9,12,45275,123731
6,8,5,30352,81568
5,4,57,14610,72576
4,5,13,23105,112805
3,19,36,92460,113748
3,1,47,10054,129431
5,23,14,84101,86800
3,12,46,71560,131336
4,5,3,21483,106751
4,4,39,26988,129652
5,0,58,3813,92093
4,20,15,88633,99817
6,21,27,71510,78576
0,20,15,106247,120934
1,5,3,24936,123920
6,5,44,16959,72780
6,22,25,81970,82224
3,15,27,75045,108141
0,3,31,17724,128320
5,10,44,38762,85604
3,23,1,103462,110258
0,22,30,126525,139833
4,8,2,41524,122315
5,22,53,72922,72922
5,2,7,7655,84889
3,18,23,106410,141177
4,7,14,33312,107754
3,4,42,25047,130248
2,3,30,16379,110052
0,23,8,113810,113810
2,5,38,26900,127887
0,1,44,9783,130275
1,19,1,78468,107287
6,10,7,34382,76847
5,3,6,11027,88185
3,14,55,64567,110620
1,5,43,33517,135986
1,21,50,97659,105431
5,16,38,51159,77698
5,23,41,78763,85151
0,5,56,27298,111464
2,18,15,87641,122638
4,1,34,7566,122410
0,14,29,71699,118129
4,10,9,51649,128324
1,7,37,38155,117716
4,18,17,100123,122315
2,12,49,69684,131464
0,11,4,59363,127906
5,4,52,16756,75060
2,5,28,23248,108508
6,21,38,76814,80427
2,3,59,19446,111215
6,18,33,60731,75355
0,19,42,104235,119282
5,0,44,2467,79635
2,19,22,100204,127906
6,16,4,57327,81190
5,11,29,38320,75796
3,14,5,69179,111716
3,0,55,4034,105402
3,13,57,64659,115373
4,5,45,30126,124551
2,4,43,24195,117577
0,10,3,50227,114102
0,3,28,18798,133001
4,12,22,50744,96951
0,10,5,51973,132368
6,2,31,10017,91049
3,0,41,3261,119218
2,5,17,26247,114726
0,17,14,91657,135428
0,23,39,107690,107690
1,9,57,50600,120117
1,4,31,22654,125274
1,22,8,99121,103889
2,9,36,43012,110801
3,11,9,57125,118518
5,1,19,4483,82852
3,12,5,51464,111844
3,7,47,35926,116501
2,1,55,9884,126495
6,19,58,75690,85154
6,0,2,114,78559
2,4,41,23212,110022
1,8,10,39597,107480
0,16,42,94313,139263
4,8,16,38698,113420
4,10,31,45875,106890
5,14,3,43187,76335
0,23,3,114013,130751
5,5,16,19868,90604
1,22,40,103806,117462
5,2,18,6512,68074
0,16,4,96330,130129
0,4,31,21678,118204
4,11,21,68496,143440
6,17,55,50183,64307
1,13,5,72202,130617
2,20,34,111338,128052
5,23,21,76709,80299
4,10,0,47002,114130
5,8,19,26528,80414
5,1,21,4568,77925
2,11,47,51220,114274
1,2,54,15414,121663
0,2,10,11110,132362
3,0,12,1228,140699
5,7,58,29322,89926
3,21,41,117531,138627
1,7,2,34287,113706
3,10,8,56120,127018
5,8,59,33414,91270
2,4,11,20051,111036
3,13,22,56801,115144
1,2,13,11850,137379
1,20,32,100419,110249
6,4,17,14959,84765
6,4,48,15225,83945
2,18,58,100646,131967
3,13,40,67525,124321
3,3,8,15477,119542
6,12,22,40670,80419
0,9,9,47243,122819
4,17,18,97547,135798
1,7,46,42298,122385
0,7,4,42599,141669
1,6,46,32017,111020
0,7,51,41468,119803
6,13,22,43905,80395
6,18,29,56684,78559
4,5,24,28264,118469
0,0,27,2344,124173
1,22,33,118495,125242
3,14,44,84236,141704
1,0,55,4613,124644
5,16,47,61941,84978
6,0,46,2533,75592
2,14,24,85284,136780
2,22,9,138154,143984
6,1,13,4412,84628
5,13,41,46009,80171
2,20,56,99004,114511
6,7,45,29019,84737
2,7,57,40491,124564
6,18,29,60325,76908
4,6,54,34382,124601
3,18,40,90309,120069
3,5,24,25266,113638
1,5,13,25871,124011
5,2,34,9528,85680
6,6,51,21772,81795
0,18,47,98588,125347
1,7,33,41260,130295
1,9,9,40321,116289
6,19,34,61675,77355
6,14,10,50150,83887
1,14,10,71596,118747
1,0,20,1591,115779
3,19,20,110001,132082
0,6,21,30325,115246
1,3,44,17429,111972
3,5,6,30000,139425
1,0,54,4531,115486
2,4,16,20876,121535
1,22,1,111443,124513
6,0,11,572,77552
5,3,56,12927,80209
5,21,41,90192,93183
1,1,17,7457,135583
4,9,53,43983,113207
2,4,58,24286,120991
0,9,10,46840,120393
1,0,15,1219,122638
0,21,48,92313,105453
2,5,50,31415,121108
1,12,17,52456,105735
4,14,34,78588,123583
3,3,52,16902,98713
4,12,58,52818,101484
6,23,25,78398,84093
4,19,15,90595,114531
3,23,5,100150,110121
6,14,56,47063,75183
3,7,43,39229,123276
5,4,42,14197,71215
3,14,46,77896,118337
1,3,46,23980,146796
0,11,47,57317,113954
5,12,41,35705,74929
5,1,11,4117,81694
0,18,59,88878,103454
5,18,12,51568,80052
3,3,3,16189,123147
4,3,38,16443,109486
2,10,53,48100,110777
3,4,1,20844,119753
6,19,25,68790,78332
6,10,58,40073,84426
4,9,26,50353,130531
4,7,26,33954,115055
5,5,14,17370,79089
1,5,7,28794,129410
1,7,6,34744,119763
5,22,46,77521,82925
5,14,54,57670,81405
0,13,45,72448,119984
0,10,39,55595,118472
2,11,59,57776,124827
2,12,11,56737,115864
2,7,12,33567,111474
2,17,42,88342,126099
4,0,16,1422,118555
4,14,16,76577,120335
0,7,55,42024,130893
1,10,35,57089,118861
5,11,20,36671,77674
6,11,7,44689,85422
